NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,07/30/2021,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2021,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0601302 CA EBT CONTRA COSTA COUNTY DSS,15963,,61159,,77122,,10229,,32326,,42555,,14011599
0601501 CA EBT DEL NORTE CO DSW,1393,,4040,,5433,,861,,2211,,3072,,1014690
0601704 CA EBT EL DORADO COUNTY DSS,1960,,8995,,10955,,1310,,5591,,6901,,2068045
0601904 CA EBT FRESNO COUNTY DSW,55803,,203666,,259469,,19843,,73758,,93601,,34988884
0602102 CA EBT GLENN CO WELFARE DEPT,757,,2357,,3114,,404,,1166,,1570,,579474
0602303 CA EBT HUMBOLDT CO DSW,4369,,16637,,21006,,3044,,10351,,13395,,2593543
0602501 CA EBT IMPERIAL CO DSW,8229,,29280,,37509,,4252,,13128,,17380,,6799903
0602701 CA EBT INYO COUNTY WELF DEPT,235,,1626,,1861,,145,,875,,1020,,344577
0602902 CA EBT KERN,36524,,117002,,153526,,18121,,53334,,71455,,18788417
0603101 CA EBT KINGS COUNTY DPW,5299,,18206,,23505,,2576,,8575,,11151,,2750393
0603301 CA EBT LAKE CO DEPT OF SOC SVCS,2777,,9479,,12256,,1886,,5476,,7362,,1403985
0603501 CA EBT LASSEN CO DSW,831,,2259,,3090,,475,,1250,,1725,,578670
0603720 CA EBT LOS ANGELES COUNTY DPSS,355166,,950545,,1305711,,230368,,538956,,769324,,244737264
0603902 CA EBT MADERA CO DSW,5634,,21434,,27068,,2639,,9355,,11994,,3280946
0604102 CA EBT MARIN COUNTY DSW,2443,,10200,,12643,,1678,,6624,,8302,,2411527
0604301 CA EBT MARIPOSA CO DSW,409,,2034,,2443,,262,,1207,,1469,,467084
0604501 CA EBT MENDOCINO CO WELF DEPT,1876,,9798,,11674,,1367,,5472,,6839,,2195962
0604701 CA EBT MERCED CO DPW,11430,,39714,,51144,,5856,,18200,,24056,,9312405
0604901 CA EBT MODOC COUNTY DSS,310,,1000,,1310,,186,,540,,726,,245674
0605101 CA EBT MONO CO WELFARE DEPT,56,,801,,857,,39,,491,,530,,162345
0605302 CA EBT MONTEREY CO DSW,6727,,34297,,41024,,3540,,16322,,19862,,7651565
0605502 CA EBT NAPA CO WELFARE DEPT,1218,,6043,,7261,,837,,3312,,4149,,821474
0605701 CA EBT NEVADA CO DPSS,1297,,6433,,7730,,922,,4020,,4942,,1473373
0605903 CA EBT ORANGE CO DSW,45109,,186687,,231796,,27295,,100028,,127323,,41893240
0606101 CA EBT PLACER CO WELFARE DEPT,2766,,12205,,14971,,1597,,7537,,9134,,2795670
0606301 CA EBT PLUMAS COUNTY DSS,342,,1878,,2220,,239,,1085,,1324,,418057
0606503 CA EBT RIVERSIDE COUNTY DSS,44486,,192750,,237236,,25167,,94461,,119628,,43680233
0606703 CA EBT SACRAMENTO CO DSW,53171,,158802,,211973,,30495,,79684,,110179,,37940190
0606902 CA EBT SAN BENITO COUNTY DSS,829,,4388,,5217,,443,,2186,,2629,,636719
0607105 CA EBT SAN BRNDINO CO DPSS AU,64504,,232323,,296827,,34251,,110011,,144262,,54346336
0607301 CA EBT SAN DIEGO CO DSS,48614,,289345,,337959,,30632,,160274,,190906,,37774433
0607502 CA EBT SAN FRANCISCO COUNTY DSS,4532,,77412,,81944,,1832,,56883,,58715,,9087723
