NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:34 PM,,,,,
Jul 1990,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0510901 AR FSP PIKE COUNTY,76,,654,,730,,24,,288,,312,,35542
0511101 AR FSP POINSETT COUNTY,913,,3346,,4259,,271,,1367,,1638,,221293
0511301 AR FSP POLK COUNTY,224,,1371,,1595,,69,,512,,581,,81118
0511501 AR FSP POPE COUNTY,571,,2737,,3308,,186,,1098,,1284,,182675
0511701 AR FSP PRAIRIE COUNTY,72,,731,,803,,22,,287,,309,,37176
0511901 AR FSP PULASKI COUNTY,4983,,21198,,26181,,1422,,7588,,9010,,1573286
0512101 AR FSP RANDOLPH COUNTY,240,,1551,,1791,,77,,640,,717,,92297
0512301 AR FSP SAINT FRANCIS COUNTY,2396,,5789,,8185,,680,,2087,,2767,,440390
0512501 AR FSP SALINE COUNTY,506,,2038,,2544,,157,,802,,959,,132143
0512701 AR FSP SCOTT COUNTY,37,,1233,,1270,,13,,470,,483,,66880
0512901 AR FSP SEARCY COUNTY,53,,897,,950,,16,,380,,396,,45164
0513101 AR FSP SEBASTIAN COUNTY,816,,4392,,5208,,259,,1656,,1915,,301645
0513301 AR FSP SEVIER COUNTY,81,,889,,970,,28,,350,,378,,49325
0513501 AR FSP SHARP COUNTY,223,,1233,,1456,,73,,522,,595,,72779
0513701 AR FSP STONE COUNTY,73,,1060,,1133,,25,,429,,454,,54666
0513901 AR FSP UNION COUNTY,1418,,3628,,5046,,437,,1499,,1936,,280314
0514101 AR FSP VAN BUREN COUNTY,249,,1290,,1539,,84,,532,,616,,80200
0514301 AR FSP WASHINGTON COUNTY,1070,,4294,,5364,,336,,1668,,2004,,287720
0514501 AR FSP WHITE COUNTY,515,,3576,,4091,,171,,1495,,1666,,215472
0514701 AR FSP WOODRUFF COUNTY,395,,1628,,2023,,113,,651,,764,,99167
0514901 AR FSP YELL COUNTY,239,,1203,,1442,,70,,506,,576,,70479
0600105 CA FSP ALAMEDA COUNTY DSS,63067,,30964,,94031,,23550,,11562,,35112,,3756750
0600302 CA FSP ALPINE COUNTY DSS,87,,99,,186,,23,,42,,65,,7636
0600501 CA FSP AMADOR COUNTY DSS,545,,292,,837,,182,,124,,306,,36265
0600702 CA FSP BUTTE COUNTY DSS,15141,,4507,,19648,,4610,,2327,,6937,,825266
0600901 CA FSP CALAVERAS CO DSW,1513,,691,,2204,,485,,323,,808,,88343
0601101 CA FSP COLUSA COUNTY DSW,622,,578,,1200,,188,,198,,386,,46913
0601302 CA FSP CONTRA COSTA COUNTY DSS,31516,,8694,,40210,,10498,,4981,,15479,,1654725
0601501 CA FSP DEL NORTE CO DSW,2175,,810,,2985,,642,,337,,979,,116564
0601704 CA FSP EL DORADO COUNTY DSS,3889,,1264,,5153,,1309,,605,,1914,,226923
0601904 CA FSP FRESNO COUNTY DSW,71625,,19670,,91295,,20166,,8713,,28879,,3995484
0602102 CA FSP GLENN CO WELFARE DEPT,1755,,807,,2562,,485,,267,,752,,93201
0602303 CA FSP HUMBOLDT CO DSW,9882,,3064,,12946,,3089,,1673,,4762,,492140
0602501 CA FSP IMPERIAL CO DSW,9832,,5488,,15320,,2756,,1709,,4465,,619675
0602701 CA FSP INYO COUNTY WELF DEPT,833,,421,,1254,,264,,209,,473,,49791
0602902 CA FSP KERN,32873,,15585,,48458,,10107,,5595,,15702,,1965801
0603101 CA FSP KINGS COUNTY DPW,7100,,3798,,10898,,2130,,1315,,3445,,423514
0603301 CA FSP LAKE CO DEPT OF SOC SVCS,5303,,1751,,7054,,1732,,839,,2571,,290770
0603501 CA FSP LASSEN CO DSW,1790,,564,,2354,,572,,301,,873,,100538
0603720 CA FSP LOS ANGELES COUNTY DPSS,446692,,147638,,594330,,149967,,84723,,234690,,27036286
0603902 CA FSP MADERA CO DSW,5516,,2879,,8395,,1729,,1069,,2798,,334665
0604102 CA FSP MARIN COUNTY DSW,2983,,1704,,4687,,1112,,1241,,2353,,221768
0604301 CA FSP MARIPOSA CO DSW,761,,388,,1149,,243,,158,,401,,41020
0604501 CA FSP MENDOCINO CO WELF DEPT,5723,,2646,,8369,,1791,,1329,,3120,,315171
0604701 CA FSP MERCED CO DPW,20749,,6336,,27085,,5560,,2114,,7674,,1076464
0604901 CA FSP MODOC COUNTY DSS,792,,444,,1236,,230,,180,,410,,45938
0605101 CA FSP MONO CO WELFARE DEPT,127,,77,,204,,35,,31,,66,,8224
0605302 CA FSP MONTEREY CO DSW,11965,,5944,,17909,,3735,,2130,,5865,,744701
0605502 CA FSP NAPA CO WELFARE DEPT,2918,,776,,3694,,999,,395,,1394,,153698
0605701 CA FSP NEVADA CO DPSS,1929,,765,,2694,,674,,406,,1080,,116957
0605903 CA FSP ORANGE CO DSW,47368,,20392,,67760,,15023,,10827,,25850,,2762785
0606101 CA FSP PLACER CO WELFARE DEPT,4712,,1495,,6207,,1606,,727,,2333,,273090
0606301 CA FSP PLUMAS COUNTY DSS,795,,268,,1063,,249,,101,,350,,36933
0606503 CA FSP RIVERSIDE COUNTY DSS,44730,,8119,,52849,,14181,,3765,,17946,,2252847
0606703 CA FSP SACRAMENTO CO DSW,95551,,16317,,111868,,29137,,7987,,37124,,4426389
0606902 CA FSP SAN BENITO COUNTY DSS,1257,,1055,,2312,,390,,319,,709,,101865
0607105 CA FSP SAN BRNDINO CO DPSS AU,101909,,20689,,122598,,31283,,8155,,39438,,5138758
0607301 CA FSP SAN DIEGO CO DSS,109731,,24425,,134156,,36404,,11907,,48311,,5701790
0607502 CA FSP SAN FRANCISCO COUNTY DSS,28364,,13203,,41567,,9532,,10293,,19825,,1939010
0607702 CA FSP SAN JOAQUIN CO HUMAN SVCS AGCY,50818,,9365,,60183,,14038,,3918,,17956,,2250577
0607901 CA FSP SAN LUIS OBISPO COUNTY DSS,4740,,1985,,6725,,1621,,805,,2426,,287243
0608103 CA FSP SAN MATEO COUNTY DSS,8674,,2607,,11281,,3014,,1406,,4420,,480702
0608304 CA FSP SANTA BARBARA CO DSW,9601,,5591,,15192,,3082,,2567,,5649,,678504
0608502 CA FSP SANTA CLARA COUNTY DSS,55007,,12123,,67130,,17444,,6481,,23925,,2698589
0608702 CA FSP SANTA CRUZ CO DSW,6120,,2744,,8864,,2224,,1532,,3756,,414024
0608901 CA FSP SHASTA CO DSW,12966,,4319,,17285,,4013,,1958,,5971,,686547
0609101 CA FSP SIERRA CO HUMAN SVCS,135,,64,,199,,41,,35,,76,,8528
0609301 CA FSP SISKIYOU CO DSW,3078,,1316,,4394,,929,,590,,1519,,165953
0609502 CA FSP SOLANO CO DSW,15681,,2291,,17972,,5123,,1129,,6252,,727158
0609701 CA FSP SONOMA CO DSW,11184,,2925,,14109,,3859,,1424,,5283,,580010
0609902 CA FSP STANISLAUS CO. DSS,29562,,7464,,37026,,8610,,2631,,11241,,1424823
0610101 CA FSP SUTTER CO WELF DEPT,3717,,1711,,5428,,1159,,641,,1800,,206981
0610301 CA FSP TEHAMA CO DSW,3442,,2011,,5453,,1083,,793,,1876,,224797
0610501 CA FSP TRINITY CO DSW,730,,370,,1100,,227,,163,,390,,45187
0610704 CA FSP TULARE COUNTY DSS,35586,,13773,,49359,,10154,,4710,,14864,,1840473
0610901 CA FSP TUOLUMNE CO WELF DEPT,2053,,791,,2844,,692,,390,,1082,,122776
0611101 CA FSP VENTURA CO.,15351,,7060,,22411,,5086,,2683,,7769,,955335
0611301 CA FSP YOLO CO DSW,9987,,1371,,11358,,3272,,769,,4041,,435978
0611501 CA FSP YUBA CO WELFARE DEPT,8017,,2342,,10359,,2129,,961,,3090,,393028
0800301 CO FSP ALAMOSA CO DSS,956,,1485,,2441,,406,,524,,930,,138439
0800701 CO FSP ARCHULETA CO DSS,88,,541,,629,,36,,183,,219,,34340
0800901 CO FSP BACA CO DSS,112,,315,,427,,51,,104,,155,,19152
0801101 CO FSP BENT CO DSS,265,,534,,799,,114,,180,,294,,41411
0801301 CO FSP BOULDER CO DSS,3463,,4128,,7591,,1567,,1746,,3313,,426406
0801501 CO FSP CHAFFEE CO DSS,272,,445,,717,,152,,190,,342,,35783
0801701 CO FSP CHEYENNE CO DSS,9,,78,,87,,8,,25,,33,,4118
0802101 CO FSP CONEJOS CO DSS,526,,1323,,1849,,290,,385,,675,,91557
0802301 CO FSP COSTILLA CO DSS,327,,624,,951,,163,,205,,368,,45044
0802501 CO FSP CROWLEY CO DSS,209,,399,,608,,92,,140,,232,,29731
0802701 CO FSP CUSTER CO DSS,69,,122,,191,,23,,44,,67,,9233
0802901 CO FSP DELTA CO DSS,675,,1305,,1980,,301,,456,,757,,105617
0803102 CO FSP DENVER,56363,,63890,,120253,,23953,,25373,,49326,,7288066
0803301 CO FSP DOLORES CO DSS,39,,46,,85,,18,,15,,33,,4506
0803701 CO FSP EAGLE CO DSS,93,,144,,237,,42,,52,,94,,12939
0803901 CO FSP ELBERT CO DSS,70,,171,,241,,32,,56,,88,,12221
0804301 CO FSP FREMONT CO DSS,1132,,1760,,2892,,503,,608,,1111,,158113
0804501 CO FSP GARFIELD CO DSS,685,,452,,1137,,290,,196,,486,,70259
0805101 CO FSP GUNN HINSDALE CO DSS,144,,312,,456,,62,,144,,206,,22531
0805501 CO FSP HUERFANO CO DSS,406,,740,,1146,,204,,267,,471,,59431
0805702 CO FSP MOUNTAIN DISTRICT 4,188,,492,,680,,88,,170,,258,,41520
0805901 CO FSP JEFFERSON CO DSS,5628,,4962,,10590,,2211,,1845,,4056,,656453
0806101 CO FSP KIOWA CO DSS,23,,31,,54,,10,,9,,19,,2312
0806301 CO FSP KIT CARSON CO DSS,107,,304,,411,,56,,93,,149,,20400
0806501 CO FSP LAKE CO DSS,35,,100,,135,,19,,37,,56,,5207
0806701 CO FSP LA PLATA CO DSS,450,,1172,,1622,,215,,437,,652,,83866
0806901 CO FSP LARIMER CO DSS,3312,,4581,,7893,,1408,,1730,,3138,,468475
0807101 CO FSP LAS ANIMAS CO DSS,955,,1474,,2429,,447,,522,,969,,125054
0807301 CO FSP LINCOLN CO DSS,109,,291,,400,,53,,89,,142,,18022
0807501 CO FSP LOGAN CO DSS,401,,890,,1291,,175,,307,,482,,65564
0807701 CO FSP MESA CO DSS,3843,,4734,,8577,,1594,,1964,,3558,,504217
0808101 CO FSP MOFFAT CO DSS,252,,333,,585,,130,,135,,265,,33325
0808301 CO FSP MONTEZUMA CO DSS,604,,1531,,2135,,239,,439,,678,,110671
0808501 CO FSP MONTROSE CO DSS,494,,1167,,1661,,208,,410,,618,,86587
0808701 CO FSP MORGAN CO DSS,634,,1434,,2068,,258,,389,,647,,111366
0808901 CO FSP OTERO CO DSS,1533,,2171,,3704,,625,,667,,1292,,194091
0809101 CO FSP OURAY CO DSS,11,,30,,41,,6,,10,,16,,1977
0809301 CO FSP PARK CO DSS,31,,92,,123,,17,,35,,52,,6487
0809501 CO FSP PHILLIPS CO DSS,64,,146,,210,,40,,49,,89,,10865
0809901 CO FSP PROWERS CO DSS,646,,978,,1624,,288,,327,,615,,74879
0810101 CO FSP PUEBLO CO DSS,11617,,6941,,18558,,4507,,2534,,7041,,1055059
0810301 CO FSP RIO BLANCO CO DSS,66,,100,,166,,32,,33,,65,,9559
0810501 CO FSP RIO GRANDE CO DSS,696,,1266,,1962,,299,,391,,690,,95084
0810701 CO FSP ROUTT CO DSS,28,,243,,271,,14,,109,,123,,14699
0810901 CO FSP SAGUACHE CO DSS,234,,1077,,1311,,109,,533,,642,,85290
0811101 CO FSP SAN JUAN CO DSS,7,,13,,20,,3,,6,,9,,1257
0811301 CO FSP SAN MIGUEL CO DSS,52,,78,,130,,22,,36,,58,,7181
0811501 CO FSP SEDGWICK CO DSS,72,,66,,138,,34,,25,,59,,6736
0811701 CO FSP SUMMIT CO DSS,35,,118,,153,,13,,66,,79,,9727
0811901 CO FSP TELLER CO DSS,270,,414,,684,,113,,158,,271,,43796
0812101 CO FSP WASHINGTON CO DSS,67,,132,,199,,29,,41,,70,,8614
0812301 CO FSP WELD CO DSS,3847,,6586,,10433,,1467,,2017,,3484,,576096
0812501 CO FSP YUMA CO DSS,93,,289,,382,,45,,86,,131,,17223
0990112 CT FSP BRIDGEPORT DIST THREE,20205,,3400,,23605,,6959,,1806,,8765,,1033452
0990317 CT FSP HARTFORD DIST ONE,35060,,5899,,40959,,12698,,3295,,15993,,1782622
0990517 CT FSP MIDDLETOWN (WD),12296,,2068,,14364,,4480,,1162,,5642,,661642
0990709 CT FSP NEW HAVEN DIST TWO,23132,,3865,,26997,,8563,,2222,,10785,,1189899
0990909 CT FSP NORWICH DIST FOUR,11360,,1912,,13272,,4249,,1102,,5351,,569323
0991109 CT FSP STAMFORD DIST EIGHT,2631,,443,,3074,,1003,,260,,1263,,165832
0991315 CT FSP TORRINGTON DIST FIVE,3030,,510,,3540,,1211,,314,,1525,,152293
0991508 CT FSP WATERBURY DIST SIX,10137,,1705,,11842,,3790,,983,,4773,,552379
1000112 DE FSP KENT,3479,,3484,,6963,,1288,,1291,,2579,,422816
1000235 DE FSP NEW CASTLE,10345,,10234,,20579,,3832,,3790,,7622,,1249559
1000316 DE FSP SUSSEX CO.,2661,,3862,,6523,,986,,1430,,2416,,396086
1100161 DC FSP D.C. Treasury,39121,,24285,,63406,,15007,,12558,,27565,,3588574
1200101 FL FSP ALACHUA CO DFS,7275,,6574,,13849,,2285,,2759,,5044,,902127
1200301 FL FSP BAKER CO SERVICE CENTE,590,,1171,,1761,,192,,384,,576,,106353
1200501 FL FSP BAY CO DFS,2966,,7079,,10045,,980,,2558,,3538,,616105
1200701 FL FSP BRADFORD CO DFS,991,,1068,,2059,,311,,448,,759,,124554
1200901 FL FSP BREVARD CO DFS,7279,,10858,,18137,,2449,,4166,,6615,,1180135
