NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:57 AM,,,,,
Jan 2004,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0401901 AZ EBT PIMA,22207,,62341,,84548,,7533,,27483,,35016,,7667176
0402101 AZ EBT PINAL,6383,,17918,,24301,,1931,,7046,,8977,,2163109
0402301 AZ EBT SANTA CRUZ,1636,,4594,,6230,,477,,1740,,2217,,501516
0402501 AZ EBT YAVAPAI,3177,,8920,,12097,,1213,,4426,,5639,,1110397
0402701 AZ EBT YUMA,5952,,16710,,22662,,1708,,6232,,7940,,1860472
0402901 AZ EBT LA PAZ CO DES,586,,1646,,2232,,210,,767,,977,,201569
0500101 AR EBT ARKANSAS COUNTY,102,,3191,,3293,,36,,1392,,1428,,279684
0500301 AR EBT ASHLEY COUNTY,190,,4197,,4387,,65,,1844,,1909,,372320
0500501 AR EBT BAXTER COUNTY,81,,3709,,3790,,28,,1484,,1512,,303101
0500701 AR EBT BENTON COUNTY,114,,8931,,9045,,42,,3222,,3264,,762363
0500901 AR EBT BOONE COUNTY,225,,3503,,3728,,79,,1434,,1513,,294784
0501101 AR EBT BRADLEY COUNTY,91,,1798,,1889,,41,,878,,919,,146810
0501301 AR EBT CALHOUN COUNTY,43,,514,,557,,15,,232,,247,,44222
0501501 AR EBT CARROLL COUNTY,20,,2041,,2061,,8,,806,,814,,159132
0501701 AR EBT CHICOT COUNTY,177,,3756,,3933,,64,,1649,,1713,,311176
0501901 AR EBT CLARK COUNTY,55,,2306,,2361,,21,,1051,,1072,,191040
0502101 AR EBT CLAY COUNTY,86,,1793,,1879,,28,,747,,775,,128836
0502301 AR EBT CLEBURNE COUNTY,22,,2359,,2381,,8,,942,,950,,180546
0502501 AR EBT CLEVELAND COUNTY,71,,1174,,1245,,23,,496,,519,,106114
0502701 AR EBT COLUMBIA COUNTY,132,,4909,,5041,,53,,2223,,2276,,433509
0502901 AR EBT CONWAY COUNTY,32,,3076,,3108,,11,,1295,,1306,,253363
0503101 AR EBT CRAIGHEAD COUNTY,481,,9242,,9723,,167,,3545,,3712,,827669
0503301 AR EBT CRAWFORD COUNTY,140,,6327,,6467,,46,,2279,,2325,,506463
0503501 AR EBT CRITTENDEN COUNTY,681,,12061,,12742,,214,,4474,,4688,,1099045
0503701 AR EBT CROSS COUNTY,76,,3325,,3401,,25,,1336,,1361,,275415
0503901 AR EBT DALLAS COUNTY,35,,1433,,1468,,14,,629,,643,,112135
0504101 AR EBT DESHA COUNTY,115,,3484,,3599,,39,,1486,,1525,,297033
0504301 AR EBT DREW COUNTY,77,,3312,,3389,,30,,1457,,1487,,295919
0504501 AR EBT FAULKNER COUNTY,149,,7605,,7754,,52,,3017,,3069,,663701
0504701 AR EBT FRANKLIN COUNTY,52,,2339,,2391,,17,,934,,951,,189754
0504901 AR EBT FULTON COUNTY,81,,1803,,1884,,29,,756,,785,,139631
0505101 AR EBT GARLAND COUNTY,261,,9334,,9595,,91,,3865,,3956,,826065
0505301 AR EBT GRANT COUNTY,16,,1317,,1333,,6,,527,,533,,102806
0505501 AR EBT GREENE COUNTY,216,,4655,,4871,,80,,1931,,2011,,393707
0505701 AR EBT HEMPSTEAD COUNTY,80,,3679,,3759,,28,,1529,,1557,,296660
0505901 AR EBT HOT SPRING COUNTY,26,,3650,,3676,,9,,1479,,1488,,305583
0506101 AR EBT HOWARD COUNTY,17,,1379,,1396,,5,,583,,588,,108728
0506301 AR EBT INDEPENDENCE COUNTY,115,,4280,,4395,,44,,1681,,1725,,335052
0506501 AR EBT IZARD COUNTY,61,,1755,,1816,,19,,700,,719,,136178
0506701 AR EBT JACKSON COUNTY,121,,3190,,3311,,43,,1330,,1373,,263196
0506901 AR EBT JEFFERSON COUNTY,988,,15924,,16912,,357,,7091,,7448,,1513836
0507101 AR EBT JOHNSON COUNTY,23,,2977,,3000,,8,,1172,,1180,,234321
0507301 AR EBT LAFAYETTE COUNTY,39,,1589,,1628,,14,,702,,716,,126716
0507501 AR EBT LAWRENCE COUNTY,52,,2793,,2845,,17,,1142,,1159,,209485
0507701 AR EBT LEE COUNTY,195,,3200,,3395,,67,,1452,,1519,,278165
0507901 AR EBT LINCOLN COUNTY,95,,2110,,2205,,32,,852,,884,,176069
0508101 AR EBT LITTLE RIVER COUNTY,37,,1477,,1514,,11,,664,,675,,118573
0508301 AR EBT LOGAN COUNTY,214,,3164,,3378,,76,,1294,,1370,,268973
0508501 AR EBT LONOKE COUNTY,43,,4542,,4585,,17,,1683,,1700,,370961
0508701 AR EBT MADISON COUNTY,23,,1810,,1833,,8,,656,,664,,144432
0508901 AR EBT MARION COUNTY,136,,2183,,2319,,44,,881,,925,,180548
0509101 AR EBT MILLER COUNTY,427,,6132,,6559,,146,,2535,,2681,,565687
0509301 AR EBT MISSISSIPPI COUNTY,629,,10063,,10692,,203,,3832,,4035,,864357
0509501 AR EBT MONROE COUNTY,49,,2066,,2115,,19,,885,,904,,160881
0509701 AR EBT MONTGOMERY COUNTY,9,,1009,,1018,,3,,402,,405,,83570
0509901 AR EBT NEVADA COUNTY,26,,1363,,1389,,10,,574,,584,,104988
0510101 AR EBT NEWTON COUNTY,32,,1459,,1491,,11,,587,,598,,109413
0510301 AR EBT OUACHITA COUNTY,303,,4356,,4659,,112,,1976,,2088,,381183
0510501 AR EBT PERRY COUNTY,41,,1120,,1161,,14,,417,,431,,88343
0510701 AR EBT PHILLIPS COUNTY,455,,8577,,9032,,147,,3358,,3505,,740185
0510901 AR EBT PIKE COUNTY,26,,1075,,1101,,8,,447,,455,,88359
0511101 AR EBT POINSETT COUNTY,377,,4780,,5157,,130,,2021,,2151,,421922
0511301 AR EBT POLK COUNTY,34,,2934,,2968,,12,,1067,,1079,,240954
0511501 AR EBT POPE COUNTY,56,,5808,,5864,,21,,2244,,2265,,454054
0511701 AR EBT PRAIRIE COUNTY,24,,1099,,1123,,7,,451,,458,,85187
0511901 AR EBT PULASKI COUNTY,3344,,36777,,40121,,1175,,15124,,16299,,3558181
0512101 AR EBT RANDOLPH COUNTY,67,,3027,,3094,,23,,1262,,1285,,235958
0512301 AR EBT SAINT FRANCIS COUNTY,426,,7085,,7511,,155,,2897,,3052,,632499
0512501 AR EBT SALINE COUNTY,191,,5273,,5464,,70,,2043,,2113,,475638
0512701 AR EBT SCOTT COUNTY,135,,1561,,1696,,39,,612,,651,,128165
0512901 AR EBT SEARCY COUNTY,20,,1121,,1141,,7,,457,,464,,80417
0513101 AR EBT SEBASTIAN COUNTY,263,,12714,,12977,,98,,5058,,5156,,1108179
0513301 AR EBT SEVIER COUNTY,47,,2021,,2068,,16,,840,,856,,168286
0513501 AR EBT SHARP COUNTY,128,,2677,,2805,,42,,1073,,1115,,211965
0513701 AR EBT STONE COUNTY,25,,1450,,1475,,10,,599,,609,,107706
0513901 AR EBT UNION COUNTY,423,,6738,,7161,,148,,2871,,3019,,601750
0514101 AR EBT VAN BUREN COUNTY,23,,2263,,2286,,8,,900,,908,,177369
0514301 AR EBT WASHINGTON COUNTY,375,,10373,,10748,,136,,4073,,4209,,949664
0514501 AR EBT WHITE COUNTY,43,,7200,,7243,,16,,2810,,2826,,603327
0514701 AR EBT WOODRUFF COUNTY,88,,1855,,1943,,32,,872,,904,,151413
0514901 AR EBT YELL COUNTY,13,,1929,,1942,,5,,759,,764,,140801
0600105 CA EBT ALAMEDA COUNTY DSS,35574,,24737,,60311,,13889,,9643,,23532,,4709203
0600302 CA FSP ALPINE COUNTY DSS,15,,56,,71,,8,,24,,32,,5943
0600501 CA FSP AMADOR COUNTY DSS,339,,637,,976,,131,,303,,434,,84633
0600702 CA FSP BUTTE COUNTY DSS,6620,,9637,,16257,,2356,,4003,,6359,,1381591
0600901 CA FSP CALAVERAS CO DSW,560,,925,,1485,,213,,456,,669,,134717
0601101 CA FSP COLUSA COUNTY DSW,216,,866,,1082,,86,,322,,408,,84186
0601302 CA EBT CONTRA COSTA COUNTY DSS,17887,,6493,,24380,,6455,,3140,,9595,,2022999
0601501 CA FSP DEL NORTE CO DSW,1498,,1889,,3387,,513,,909,,1422,,283780
0601704 CA FSP EL DORADO COUNTY DSS,1583,,2069,,3652,,596,,1056,,1652,,318181
0601904 CA EBT FRESNO COUNTY DSW,67004,,31104,,98108,,20392,,12104,,32496,,8270719
0602102 CA FSP GLENN CO WELFARE DEPT,640,,1514,,2154,,229,,552,,781,,162735
0602303 CA FSP HUMBOLDT CO DSW,2923,,6112,,9035,,1123,,3028,,4151,,830900
0602501 CA EBT IMPERIAL CO DSW,4711,,11213,,15924,,1548,,3798,,5346,,1340553
0602701 CA FSP INYO COUNTY WELF DEPT,187,,704,,891,,71,,341,,412,,72839
0602902 CA EBT KERN,21631,,47318,,68949,,7357,,16364,,23721,,5719159
0603101 CA FSP KINGS COUNTY DPW,3850,,7923,,11773,,1330,,3100,,4430,,954218
0603301 CA FSP LAKE CO DEPT OF SOC SVCS,1943,,2704,,4647,,726,,1262,,1988,,437757
0603501 CA FSP LASSEN CO DSW,771,,1016,,1787,,265,,451,,716,,148514
0603720 CA EBT LOS ANGELES COUNTY DPSS,246379,,377162,,623541,,101153,,161123,,262276,,59121574
0603902 CA FSP MADERA CO DSW,3867,,9383,,13250,,1313,,3708,,5021,,1097260
0604102 CA EBT MARIN COUNTY DSW,1211,,2335,,3546,,497,,1478,,1975,,314779
0604301 CA FSP MARIPOSA CO DSW,277,,458,,735,,97,,207,,304,,63775
0604501 CA FSP MENDOCINO CO WELF DEPT,2214,,4454,,6668,,811,,2186,,2997,,571208
0604701 CA EBT MERCED CO DPW,11419,,14174,,25593,,4070,,4506,,8576,,2064682
0604901 CA FSP MODOC COUNTY DSS,318,,442,,760,,110,,190,,300,,58802
0605101 CA FSP MONO CO WELFARE DEPT,74,,174,,248,,25,,103,,128,,22357
0605302 CA FSP MONTEREY CO DSW,6055,,11324,,17379,,2206,,4368,,6574,,1474846
0605502 CA EBT NAPA CO WELFARE DEPT,555,,1637,,2192,,216,,700,,916,,186161
0605701 CA FSP NEVADA CO DPSS,814,,1161,,1975,,314,,580,,894,,163888
0605903 CA EBT ORANGE CO DSW,29995,,43036,,73031,,11708,,16425,,28133,,5797935
0606101 CA FSP PLACER CO WELFARE DEPT,2148,,2330,,4478,,826,,1030,,1856,,403839
0606301 CA FSP PLUMAS COUNTY DSS,222,,376,,598,,93,,155,,248,,50824
0606503 CA EBT RIVERSIDE COUNTY DSS,41689,,18172,,59861,,14881,,8202,,23083,,5434321
0606703 CA FSP SACRAMENTO CO DSW,52346,,45891,,98237,,17060,,16911,,33971,,8765960
0606902 CA FSP SAN BENITO COUNTY DSS,930,,1607,,2537,,322,,658,,980,,210398
0607105 CA EBT SAN BRNDINO CO DPSS AU,66179,,57403,,123582,,23098,,20924,,44022,,10759962
0607301 CA EBT SAN DIEGO CO DSS,41044,,35767,,76811,,15008,,12958,,27966,,6211577
0607502 CA EBT SAN FRANCISCO COUNTY DSS,13319,,17107,,30426,,5126,,13510,,18636,,2715050
0607702 CA EBT SAN JOAQUIN CO HUMAN SVCS AGCY,18241,,29178,,47419,,6309,,10341,,16650,,3989049
0607901 CA EBT SAN LUIS OBISPO COUNTY DSS,2936,,3056,,5992,,1146,,1586,,2732,,558676
0608103 CA EBT SAN MATEO COUNTY DSS,3407,,3508,,6915,,1388,,1658,,3046,,735533
0608304 CA EBT SANTA BARBARA CO DSW,7040,,8591,,15631,,3492,,3375,,6867,,1355625
0608502 CA EBT SANTA CLARA COUNTY DSS,26362,,23412,,49774,,9943,,10464,,20407,,4257359
0608702 CA EBT SANTA CRUZ CO DSW,3462,,5271,,8733,,1489,,2437,,3926,,787624
0608901 CA FSP SHASTA CO DSW,4593,,5581,,10174,,1727,,2461,,4188,,969942
0609101 CA FSP SIERRA CO HUMAN SVCS,62,,63,,125,,20,,35,,55,,9176
0609301 CA FSP SISKIYOU CO DSW,1442,,2153,,3595,,515,,971,,1486,,302724
0609502 CA EBT SOLANO CO DSW,9609,,4009,,13618,,3369,,2091,,5460,,1126374
0609701 CA EBT SONOMA CO DSW,4239,,6047,,10286,,1817,,3100,,4917,,892119
0609902 CA EBT STANISLAUS CO. DSS,16413,,17280,,33693,,5779,,6356,,12135,,2891906
0610101 CA FSP SUTTER CO WELF DEPT,1479,,3113,,4592,,505,,1139,,1644,,370723
0610301 CA FSP TEHAMA CO DSW,1795,,2981,,4776,,719,,1276,,1995,,387340
0610501 CA FSP TRINITY CO DSW,294,,498,,792,,110,,196,,306,,67162
0610704 CA EBT TULARE COUNTY DSS,32612,,18377,,50989,,10518,,7383,,17901,,4188888
0610901 CA FSP TUOLUMNE CO WELF DEPT,959,,1230,,2189,,357,,568,,925,,170187
0611101 CA EBT VENTURA CO.,10478,,12791,,23269,,3801,,5202,,9003,,1904958
0611301 CA EBT YOLO CO DSW,5398,,2558,,7956,,1856,,1243,,3099,,683100
0611501 CA FSP YUBA CO WELFARE DEPT,3288,,4049,,7337,,1084,,1504,,2588,,602495
0800301 CO EBT ALAMOSA CO DSS,535,,1943,,2478,,253,,875,,1128,,205692
0800701 CO EBT ARCHULETA CO DSS,144,,502,,646,,67,,198,,265,,50007
0800901 CO EBT BACA CO DSS,47,,272,,319,,28,,115,,143,,23248
0801101 CO EBT BENT CO DSS,111,,646,,757,,65,,266,,331,,53684
0801301 CO EBT BOULDER CO DSS,2192,,6120,,8312,,1048,,2909,,3957,,720815
0801501 CO EBT CHAFFEE CO DSS,127,,773,,900,,81,,338,,419,,69568
0801701 CO EBT CHEYENNE CO DSS,38,,88,,126,,18,,31,,49,,10017
0801901 CO EBT CLEAR CREEK,39,,275,,314,,28,,132,,160,,28701
0802101 CO EBT CONEJOS CO DSS,191,,1259,,1450,,141,,467,,608,,102397
0802301 CO EBT COSTILLA CO DSS,239,,573,,812,,145,,262,,407,,57485
0802501 CO EBT CROWLEY CO DSS,144,,523,,667,,82,,185,,267,,48876
0802701 CO EBT CUSTER CO DSS,12,,170,,182,,6,,76,,82,,15735
0802901 CO EBT DELTA CO DSS,760,,1470,,2230,,325,,598,,923,,175810
0803102 CO EBT DENVER,11069,,34123,,45192,,6195,,15338,,21533,,4030335
0803301 CO EBT DOLORES CO DSS,16,,81,,97,,11,,35,,46,,7542
0803501 CO EBT DOUGLAS,255,,28,,283,,133,,14,,147,,23685
0803701 CO EBT EAGLE CO DSS,39,,311,,350,,21,,133,,154,,27936
0803901 CO EBT ELBERT CO DSS,44,,365,,409,,18,,125,,143,,36779
0804101 CO EBT EL PASO CO DSS,7692,,23991,,31683,,3306,,9645,,12951,,2797812
0804301 CO EBT FREMONT CO DSS,526,,1962,,2488,,271,,774,,1045,,197507
0804501 CO EBT GARFIELD CO DSS,908,,729,,1637,,392,,294,,686,,146306
0804701 CO EBT GILPIN,18,,127,,145,,12,,62,,74,,13414
0804901 CO EBT GRAND,78,,256,,334,,27,,96,,123,,28740
0805101 CO EBT GUNN HINSDALE CO DSS,82,,378,,460,,43,,185,,228,,41486
0805301 CO EBT HINSDALE,6,,43,,49,,2,,15,,17,,4079
0805501 CO EBT HUERFANO CO DSS,310,,762,,1072,,153,,316,,469,,83491
0805701 CO EBT JACKSON,39,,85,,124,,14,,34,,48,,11221
0805901 CO EBT JEFFERSON CO DSS,4124,,10720,,14844,,1483,,4566,,6049,,1344864
0806101 CO EBT KIOWA CO DSS,9,,69,,78,,7,,27,,34,,6039
0806301 CO EBT KIT CARSON CO DSS,74,,435,,509,,38,,171,,209,,36834
0806501 CO EBT LAKE CO DSS,65,,351,,416,,34,,132,,166,,35314
0806701 CO EBT LA PLATA CO DSS,253,,1776,,2029,,128,,743,,871,,175058
0806901 CO EBT LARIMER CO DSS,2192,,7931,,10123,,955,,3189,,4144,,859974
0807101 CO EBT LAS ANIMAS CO DSS,529,,1117,,1646,,259,,523,,782,,127977
0807301 CO EBT LINCOLN CO DSS,234,,243,,477,,83,,84,,167,,39221
0807501 CO EBT LOGAN CO DSS,361,,1210,,1571,,162,,510,,672,,112419
0807701 CO EBT MESA CO DSS,2311,,7595,,9906,,1098,,3179,,4277,,851110
0807901 CO EBT MINERAL,15,,26,,41,,8,,12,,20,,3737
0808101 CO EBT MOFFAT CO DSS,99,,752,,851,,61,,313,,374,,69135
0808301 CO EBT MONTEZUMA CO DSS,579,,1871,,2450,,222,,692,,914,,190361
0808501 CO EBT MONTROSE CO DSS,439,,1952,,2391,,191,,797,,988,,193650
0808701 CO EBT MORGAN CO DSS,433,,1345,,1778,,170,,489,,659,,129523
0808901 CO EBT OTERO CO DSS,616,,2338,,2954,,332,,957,,1289,,220455
0809101 CO EBT OURAY CO DSS,16,,101,,117,,9,,48,,57,,9174
0809301 CO EBT PARK CO DSS,59,,486,,545,,27,,192,,219,,53126
0809501 CO EBT PHILLIPS CO DSS,43,,212,,255,,26,,81,,107,,19735
0809701 CO EBT PITKIN,2,,58,,60,,2,,40,,42,,5469
0809901 CO EBT PROWERS CO DSS,349,,1246,,1595,,172,,500,,672,,119366
0810101 CO EBT PUEBLO CO DSS,5162,,15366,,20528,,2759,,6060,,8819,,1826034
0810301 CO EBT RIO BLANCO CO DSS,10,,220,,230,,6,,81,,87,,18790
0810501 CO EBT RIO GRANDE CO DSS,585,,1606,,2191,,286,,611,,897,,171354
0810701 CO EBT ROUTT CO DSS,33,,337,,370,,21,,151,,172,,26813
0810901 CO EBT SAGUACHE CO DSS,166,,732,,898,,86,,312,,398,,63962
0811101 CO EBT SAN JUAN CO DSS,1,,40,,41,,1,,24,,25,,4147
0811301 CO EBT SAN MIGUEL CO DSS,15,,126,,141,,11,,53,,64,,10462
0811501 CO EBT SEDGWICK CO DSS,15,,137,,152,,9,,54,,63,,8575
0811701 CO EBT SUMMIT CO DSS,28,,149,,177,,15,,79,,94,,14872
0811901 CO EBT TELLER CO DSS,594,,412,,1006,,250,,180,,430,,83185
0812101 CO EBT WASHINGTON CO DSS,25,,167,,192,,12,,59,,71,,12135
0812301 CO EBT WELD CO DSS,1765,,6406,,8171,,733,,2153,,2886,,672980
0812501 CO EBT YUMA CO DSS,115,,412,,527,,66,,179,,245,,39880
0812701 CO EBT ADAMS CO DSS,1636,,20979,,22615,,824,,7852,,8676,,1999882
0812901 CO EBT ARAPAHO CO. DSS,4639,,17617,,22256,,2054,,6954,,9008,,2028254
0813101 CO EBT BROOMFIELD,204,,671,,875,,117,,288,,405,,71880
0900001 CT FPK DEPT OF INCOME MAINTEN,82,,72,,154,,79,,71,,150,,2796
0900002 CT EBT DEPT. OF SOCIAL SERVICES,67372,,126290,,193662,,40994,,59253,,100247,,16269696
1000112 DE EBT KENT,12976,,23,,12999,,5468,,8,,5476,,1007914
