NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,04/10/2017,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,  , ,,,,,
Jan 2015,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0504501 AR EBT FAULKNER COUNTY,382,,12769,,13151,,120,,5642,,5762,,1560618
0504701 AR EBT FRANKLIN COUNTY,51,,2856,,2907,,13,,1162,,1175,,337009
0504901 AR EBT FULTON COUNTY,45,,1946,,1991,,13,,861,,874,,219655
0505101 AR EBT GARLAND COUNTY,259,,14684,,14943,,86,,6474,,6560,,1771577
0505301 AR EBT GRANT COUNTY,71,,1903,,1974,,22,,807,,829,,239266
0505501 AR EBT GREENE COUNTY,164,,7220,,7384,,51,,3079,,3130,,871214
0505701 AR EBT HEMPSTEAD COUNTY,163,,3898,,4061,,52,,1717,,1769,,443309
0505901 AR EBT HOT SPRING COUNTY,82,,5315,,5397,,29,,2387,,2416,,611400
0506101 AR EBT HOWARD COUNTY,40,,2462,,2502,,12,,1053,,1065,,280637
0506301 AR EBT INDEPENDENCE COUNTY,127,,5222,,5349,,38,,2167,,2205,,596546
0506501 AR EBT IZARD COUNTY,56,,2062,,2118,,17,,911,,928,,225949
0506701 AR EBT JACKSON COUNTY,113,,3311,,3424,,35,,1622,,1657,,418577
0506901 AR EBT JEFFERSON COUNTY,956,,16245,,17201,,300,,8060,,8360,,2138314
0507101 AR EBT JOHNSON COUNTY,105,,4562,,4667,,31,,1889,,1920,,528681
0507301 AR EBT LAFAYETTE COUNTY,91,,1446,,1537,,26,,736,,762,,169140
0507501 AR EBT LAWRENCE COUNTY,85,,2840,,2925,,27,,1176,,1203,,306462
0507701 AR EBT LEE COUNTY,209,,2516,,2725,,63,,1402,,1465,,336198
0507901 AR EBT LINCOLN COUNTY,76,,2301,,2377,,24,,1100,,1124,,279422
0508101 AR EBT LITTLE RIVER COUNTY,51,,2074,,2125,,16,,912,,928,,241738
0508301 AR EBT LOGAN COUNTY,114,,3996,,4110,,35,,1701,,1736,,464435
0508501 AR EBT LONOKE COUNTY,319,,7469,,7788,,90,,3220,,3310,,901794
0508701 AR EBT MADISON COUNTY,32,,2286,,2318,,9,,889,,898,,254405
0508901 AR EBT MARION COUNTY,71,,2566,,2637,,21,,1123,,1144,,289289
0509101 AR EBT MILLER COUNTY,342,,7501,,7843,,100,,3333,,3433,,919251
0509301 AR EBT MISSISSIPPI COUNTY,494,,10040,,10534,,153,,4447,,4600,,1227430
0509501 AR EBT MONROE COUNTY,41,,1824,,1865,,15,,931,,946,,208214
0509701 AR EBT MONTGOMERY COUNTY,16,,1401,,1417,,5,,610,,615,,153709
0509901 AR EBT NEVADA COUNTY,37,,1595,,1632,,10,,705,,715,,186088
0510101 AR EBT NEWTON COUNTY,22,,1253,,1275,,5,,537,,542,,130310
0510301 AR EBT OUACHITA COUNTY,282,,4824,,5106,,89,,2349,,2438,,605764
0510501 AR EBT PERRY COUNTY,28,,1546,,1574,,9,,670,,679,,180032
0510701 AR EBT PHILLIPS COUNTY,600,,6824,,7424,,182,,3318,,3500,,908006
0510901 AR EBT PIKE COUNTY,32,,1733,,1765,,8,,705,,713,,195806
0511101 AR EBT POINSETT COUNTY,261,,5502,,5763,,76,,2390,,2466,,637872
0511301 AR EBT POLK COUNTY,110,,3713,,3823,,33,,1539,,1572,,435166
0511501 AR EBT POPE COUNTY,114,,7813,,7927,,31,,3324,,3355,,878388
0511701 AR EBT PRAIRIE COUNTY,29,,1195,,1224,,12,,534,,546,,135204
0511901 AR EBT PULASKI COUNTY,3286,,60707,,63993,,1020,,29443,,30463,,8047606
0512101 AR EBT RANDOLPH COUNTY,83,,2945,,3028,,25,,1282,,1307,,321131
0512301 AR EBT SAINT FRANCIS COUNTY,553,,6129,,6682,,156,,2920,,3076,,837158
0512501 AR EBT SALINE COUNTY,155,,10282,,10437,,48,,4448,,4496,,1262736
0512701 AR EBT SCOTT COUNTY,65,,1867,,1932,,19,,760,,779,,205209
0512901 AR EBT SEARCY COUNTY,17,,1047,,1064,,5,,468,,473,,102147
