NATIONAL DATA BANK VERSION 8.2 - PRELOAD,,,,,,,2/12/2021, ,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2020,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0602902 CA EBT KERN,28677,,122824,,151501,,13655,,55797,,69452,,19296001
0603101 CA EBT KINGS COUNTY DPW,4695,,18418,,23113,,2112,,8761,,10873,,2810043
0603301 CA EBT LAKE CO DEPT OF SOC SVCS,  ,,  ,,  ,,  ,,  ,,  ,,0
0603501 CA EBT LASSEN CO DSW,683,,2341,,3024,,357,,1286,,1643,,387836
0603720 CA EBT LOS ANGELES COUNTY DPSS,251827,,863040,,1114867,,144671,,477912,,622583,,148571805
0603902 CA EBT MADERA CO DSW,4700,,20860,,25560,,1983,,8988,,10971,,3213270
0604102 CA EBT MARIN COUNTY DSW,1583,,7973,,9556,,1048,,5215,,6263,,1280119
0604301 CA EBT MARIPOSA CO DSW,290,,1687,,1977,,161,,964,,1125,,241404
0604501 CA EBT MENDOCINO CO WELF DEPT,1450,,9806,,11256,,893,,5511,,6404,,1487297
0604701 CA EBT MERCED CO DPW,9395,,41898,,51293,,4558,,19290,,23848,,6428336
0604901 CA EBT MODOC COUNTY DSS,293,,1063,,1356,,162,,540,,702,,159079
0605101 CA EBT MONO CO WELFARE DEPT,32,,556,,588,,17,,324,,341,,79109
0605302 CA EBT MONTEREY CO DSW,4676,,31330,,36006,,2270,,15088,,17358,,4490717
0605502 CA EBT NAPA CO WELFARE DEPT,742,,4600,,5342,,434,,2447,,2881,,641913
0605701 CA EBT NEVADA CO DPSS,972,,6635,,7607,,608,,4099,,4707,,970354
0605903 CA EBT ORANGE CO DSW,27551,,170112,,197663,,14458,,89012,,103470,,24802062
0606101 CA EBT PLACER CO WELFARE DEPT,2015,,12413,,14428,,1162,,7172,,8334,,1732388
0606301 CA EBT PLUMAS COUNTY DSS,229,,1872,,2101,,134,,1079,,1213,,271368
0606503 CA EBT RIVERSIDE COUNTY DSS,39365,,200931,,240296,,18944,,98406,,117350,,30999477
0606703 CA EBT SACRAMENTO CO DSW,41170,,161956,,203126,,21049,,80835,,101884,,26405730
0606902 CA EBT SAN BENITO COUNTY DSS,646,,3776,,4422,,309,,1847,,2156,,550446
0607105 CA EBT SAN BRNDINO CO DPSS AU,58878,,264764,,323642,,28383,,127643,,156026,,42019097
0607301 CA EBT SAN DIEGO CO DSS,35396,,225571,,260967,,18957,,120325,,139282,,32093224
0607502 CA EBT SAN FRANCISCO COUNTY DSS,3964,,53980,,57944,,1735,,38857,,40592,,6819159
0607702 CA EBT SAN JOAQUIN CO HUMAN SVCS AGCY,16634,,76842,,93476,,8718,,36442,,45160,,11757396
0607901 CA EBT SAN LUIS OBISPO COUNTY DSS,2069,,13392,,15461,,1121,,8180,,9301,,1935612
0608103 CA EBT SAN MATEO COUNTY DSS,2187,,18471,,20658,,1384,,10340,,11724,,2567819
0608304 CA EBT SANTA BARBARA CO DSW,5096,,33162,,38258,,2489,,18494,,20983,,4980360
0608502 CA EBT SANTA CLARA COUNTY DSS,15131,,63717,,78848,,9655,,35951,,45606,,9850162
0608702 CA EBT SANTA CRUZ CO DSW,2784,,20412,,23196,,1544,,12676,,14220,,3069310
0608901 CA EBT SHASTA CO DSW,4078,,18875,,22953,,2512,,10539,,13051,,2736244
0609101 CA EBT SIERRA CO HUMAN SVCS,27,,206,,233,,15,,131,,146,,26754
0609301 CA EBT SISKIYOU CO DSW,1254,,5365,,6619,,691,,2807,,3498,,805500
