NATIONAL DATA BANK VERSION 8.2,,,,,,,,08/05/2020,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jan 2020,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0402301 AZ EBT SANTA CRUZ,142,,9897,,10039,,42,,4211,,4253,,1049810
0402501 AZ EBT YAVAPAI,318,,17937,,18255,,99,,10048,,10147,,2047824
0402701 AZ EBT YUMA,568,,35776,,36344,,160,,15566,,15726,,3992170
0402901 AZ EBT LA PAZ CO DES,38,,2970,,3008,,11,,1575,,1586,,357938
0500101 AR EBT ARKANSAS COUNTY,20,,2431,,2451,,7,,1193,,1200,,277747
0500301 AR EBT ASHLEY COUNTY,88,,3010,,3098,,26,,1470,,1496,,370602
0500501 AR EBT BAXTER COUNTY,51,,4099,,4150,,16,,2021,,2037,,404502
0500701 AR EBT BENTON COUNTY,134,,12161,,12295,,41,,4831,,4872,,1292157
0500901 AR EBT BOONE COUNTY,101,,3992,,4093,,30,,1837,,1867,,402264
0501101 AR EBT BRADLEY COUNTY,75,,1781,,1856,,24,,874,,898,,199007
0501301 AR EBT CALHOUN COUNTY,0,,444,,444,,0,,222,,222,,49674
0501501 AR EBT CARROLL COUNTY,3,,2227,,2230,,2,,980,,982,,235869
0501701 AR EBT CHICOT COUNTY,88,,2444,,2532,,27,,1187,,1214,,273462
0501901 AR EBT CLARK COUNTY,16,,2358,,2374,,7,,1120,,1127,,259818
0502101 AR EBT CLAY COUNTY,30,,1614,,1644,,9,,772,,781,,161293
0502301 AR EBT CLEBURNE COUNTY,34,,2559,,2593,,12,,1233,,1245,,268570
0502501 AR EBT CLEVELAND COUNTY,38,,1010,,1048,,12,,475,,487,,113226
