NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,12:11 PM,,,,,
Jan 1997,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0402301 AZ FSP SANTA CRUZ,1498,,3387,,4885,,447,,1139,,1586,,314516
0402501 AZ FSP YAVAPAI,2577,,5608,,8185,,840,,2662,,3502,,589094
0402701 AZ FSP YUMA,5979,,11689,,17668,,1782,,4233,,6015,,1175798
0402901 AZ FSP LA PAZ CO DES,895,,1265,,2160,,258,,603,,861,,165030
0500101 AR FSP ARKANSAS COUNTY,436,,2515,,2951,,145,,1074,,1219,,201677
0500301 AR FSP ASHLEY COUNTY,538,,2974,,3512,,173,,1262,,1435,,233171
0500501 AR FSP BAXTER COUNTY,375,,2172,,2547,,127,,858,,985,,163295
0500701 AR FSP BENTON COUNTY,882,,4852,,5734,,286,,1796,,2082,,393369
0500901 AR FSP BOONE COUNTY,444,,2469,,2913,,143,,1025,,1168,,192305
0501101 AR FSP BRADLEY COUNTY,304,,1497,,1801,,112,,687,,799,,125384
0501301 AR FSP CALHOUN COUNTY,81,,460,,541,,27,,206,,233,,33999
0501501 AR FSP CARROLL COUNTY,156,,1515,,1671,,54,,598,,652,,113695
0501701 AR FSP CHICOT COUNTY,818,,3050,,3868,,243,,1323,,1566,,247844
0501901 AR FSP CLARK COUNTY,183,,1899,,2082,,64,,887,,951,,134619
0502101 AR FSP CLAY COUNTY,222,,1549,,1771,,71,,662,,733,,100719
0502301 AR FSP CLEBURNE COUNTY,172,,1681,,1853,,61,,700,,761,,129095
0502501 AR FSP CLEVELAND COUNTY,133,,856,,989,,48,,365,,413,,71354
0502701 AR FSP COLUMBIA COUNTY,746,,3782,,4528,,236,,1750,,1986,,315115
0502901 AR FSP CONWAY COUNTY,216,,2156,,2372,,70,,978,,1048,,147418
0503101 AR FSP CRAIGHEAD COUNTY,1551,,5483,,7034,,514,,2325,,2839,,490478
0503301 AR FSP CRAWFORD COUNTY,783,,3710,,4493,,244,,1389,,1633,,292538
0503501 AR FSP CRITTENDEN COUNTY,1520,,7807,,9327,,448,,2827,,3275,,645979
0503701 AR FSP CROSS COUNTY,648,,2403,,3051,,325,,851,,1176,,195005
0503901 AR FSP DALLAS COUNTY,150,,1201,,1351,,48,,514,,562,,83800
0504101 AR FSP DESHA COUNTY,665,,2788,,3453,,211,,1120,,1331,,225672
0504301 AR FSP DREW COUNTY,361,,1930,,2291,,120,,820,,940,,153245
0504501 AR FSP FAULKNER COUNTY,405,,3552,,3957,,141,,1384,,1525,,275622
0504701 AR FSP FRANKLIN COUNTY,148,,1449,,1597,,52,,583,,635,,100808
0504901 AR FSP FULTON COUNTY,257,,1458,,1715,,79,,644,,723,,103191
0505101 AR FSP GARLAND COUNTY,1359,,6099,,7458,,441,,2693,,3134,,526664
0505301 AR FSP GRANT COUNTY,157,,884,,1041,,54,,383,,437,,65114
0505501 AR FSP GREENE COUNTY,374,,2864,,3238,,122,,1227,,1349,,198095
0505701 AR FSP HEMPSTEAD COUNTY,376,,2766,,3142,,112,,1219,,1331,,209076
0505901 AR FSP HOT SPRING COUNTY,455,,2514,,2969,,161,,1090,,1251,,204042
0506101 AR FSP HOWARD COUNTY,62,,1449,,1511,,22,,603,,625,,100481
0506301 AR FSP INDEPENDENCE COUNTY,435,,3165,,3600,,134,,1309,,1443,,226139
0506501 AR FSP IZARD COUNTY,229,,1611,,1840,,67,,640,,707,,119414
0506701 AR FSP JACKSON COUNTY,547,,2363,,2910,,170,,970,,1140,,179007
0506901 AR FSP JEFFERSON COUNTY,3060,,12817,,15877,,962,,5468,,6430,,1136069
0507101 AR FSP JOHNSON COUNTY,247,,1630,,1877,,86,,687,,773,,113861
0507301 AR FSP LAFAYETTE COUNTY,279,,1285,,1564,,85,,601,,686,,97978
0507501 AR FSP LAWRENCE COUNTY,389,,2462,,2851,,122,,1045,,1167,,162347
0507701 AR FSP LEE COUNTY,921,,2886,,3807,,266,,1273,,1539,,242603
0507901 AR FSP LINCOLN COUNTY,347,,1723,,2070,,114,,703,,817,,134866
0508101 AR FSP LITTLE RIVER COUNTY,136,,1291,,1427,,45,,535,,580,,89993
0508301 AR FSP LOGAN COUNTY,313,,2075,,2388,,110,,836,,946,,151894
0508501 AR FSP LONOKE COUNTY,509,,2594,,3103,,168,,1008,,1176,,204777
0508701 AR FSP MADISON COUNTY,54,,1143,,1197,,18,,425,,443,,70725
0508901 AR FSP MARION COUNTY,167,,1614,,1781,,59,,609,,668,,110158
0509101 AR FSP MILLER COUNTY,1200,,4877,,6077,,406,,2069,,2475,,459302
0509301 AR FSP MISSISSIPPI COUNTY,1969,,6592,,8561,,590,,2616,,3206,,532667
0509501 AR FSP MONROE COUNTY,490,,2008,,2498,,140,,842,,982,,160039
0509701 AR FSP MONTGOMERY COUNTY,96,,930,,1026,,31,,402,,433,,67198
0509901 AR FSP NEVADA COUNTY,106,,1026,,1132,,38,,474,,512,,70515
0510101 AR FSP NEWTON COUNTY,91,,1136,,1227,,38,,478,,516,,79643
0510301 AR FSP OUACHITA COUNTY,1054,,3688,,4742,,334,,1736,,2070,,326976
0510501 AR FSP PERRY COUNTY,58,,695,,753,,20,,316,,336,,44997
0510701 AR FSP PHILLIPS COUNTY,2488,,7203,,9691,,716,,2874,,3590,,653583
0510901 AR FSP PIKE COUNTY,141,,770,,911,,47,,332,,379,,60181
0511101 AR FSP POINSETT COUNTY,680,,3422,,4102,,218,,1563,,1781,,264346
0511301 AR FSP POLK COUNTY,381,,2037,,2418,,124,,773,,897,,163172
0511501 AR FSP POPE COUNTY,578,,3835,,4413,,186,,1497,,1683,,287647
0511701 AR FSP PRAIRIE COUNTY,141,,793,,934,,47,,330,,377,,58869
0511901 AR FSP PULASKI COUNTY,5385,,25006,,30391,,1694,,10278,,11972,,2197649
0512101 AR FSP RANDOLPH COUNTY,345,,2094,,2439,,115,,880,,995,,154560
0512301 AR FSP SAINT FRANCIS COUNTY,1864,,5789,,7653,,569,,2473,,3042,,518819
0512501 AR FSP SALINE COUNTY,493,,2711,,3204,,164,,1110,,1274,,221322
0512701 AR FSP SCOTT COUNTY,97,,1527,,1624,,37,,591,,628,,102662
0512901 AR FSP SEARCY COUNTY,99,,935,,1034,,31,,426,,457,,58739
0513101 AR FSP SEBASTIAN COUNTY,1285,,7264,,8549,,402,,2908,,3310,,611709
0513301 AR FSP SEVIER COUNTY,125,,1269,,1394,,47,,505,,552,,89588
0513501 AR FSP SHARP COUNTY,276,,1683,,1959,,95,,710,,805,,125092
0513701 AR FSP STONE COUNTY,182,,1247,,1429,,55,,527,,582,,84459
0513901 AR FSP UNION COUNTY,1055,,4362,,5417,,334,,1855,,2189,,369474
0514101 AR FSP VAN BUREN COUNTY,205,,1624,,1829,,69,,661,,730,,116726
0514301 AR FSP WASHINGTON COUNTY,996,,7209,,8205,,349,,2892,,3241,,590850
0514501 AR FSP WHITE COUNTY,586,,5120,,5706,,192,,2055,,2247,,386484
0514701 AR FSP WOODRUFF COUNTY,341,,1790,,2131,,110,,809,,919,,135946
0514901 AR FSP YELL COUNTY,200,,1401,,1601,,66,,598,,664,,90768
0600105 CA FSP ALAMEDA COUNTY DSS,68339,,40739,,109078,,26463,,15776,,42239,,7853656
0600302 CA FSP ALPINE COUNTY DSS,68,,91,,159,,21,,31,,52,,8625
0600501 CA FSP AMADOR COUNTY DSS,841,,644,,1485,,287,,313,,600,,105235
0600702 CA FSP BUTTE COUNTY DSS,18745,,8267,,27012,,5649,,3918,,9567,,1973767
0600901 CA FSP CALAVERAS CO DSW,1941,,1245,,3186,,616,,640,,1256,,238917
0601101 CA FSP COLUSA COUNTY DSW,896,,1012,,1908,,298,,348,,646,,116709
0601302 CA FSP CONTRA COSTA COUNTY DSS,36196,,12763,,48959,,12120,,7147,,19267,,3409135
0601501 CA FSP DEL NORTE CO DSW,3087,,1344,,4431,,939,,660,,1599,,295298
0601704 CA FSP EL DORADO COUNTY DSS,4806,,2177,,6983,,1616,,1253,,2869,,519411
0601904 CA FSP FRESNO COUNTY DSW,81013,,32056,,113069,,23365,,11558,,34923,,8033100
0602102 CA FSP GLENN CO WELFARE DEPT,1943,,1168,,3111,,529,,431,,960,,199698
0602303 CA FSP HUMBOLDT CO DSW,9583,,4281,,13864,,3193,,2601,,5794,,979258
0602501 CA FSP IMPERIAL CO DSW,16858,,9552,,26410,,4822,,3208,,8030,,1617108
0602701 CA FSP INYO COUNTY WELF DEPT,984,,746,,1730,,345,,469,,814,,124451
0602902 CA FSP KERN,50815,,32477,,83292,,15792,,12500,,28292,,6376064
0603101 CA FSP KINGS COUNTY DPW,9016,,6510,,15526,,2789,,2555,,5344,,1041977
0603301 CA FSP LAKE CO DEPT OF SOC SVCS,6283,,2301,,8584,,2042,,1329,,3371,,637581
0603501 CA FSP LASSEN CO DSW,2064,,970,,3034,,657,,481,,1138,,214141
0603720 CA FSP LOS ANGELES COUNTY DPSS,706374,,272886,,979260,,242565,,148542,,391107,,72920726
0603902 CA FSP MADERA CO DSW,9314,,7080,,16394,,3000,,2653,,5653,,1109569
0604102 CA FSP MARIN COUNTY DSW,3298,,2782,,6080,,1304,,1945,,3249,,454072
0604301 CA FSP MARIPOSA CO DSW,882,,735,,1617,,324,,434,,758,,112215
0604501 CA FSP MENDOCINO CO WELF DEPT,6179,,3878,,10057,,2068,,2017,,4085,,705330
0604701 CA FSP MERCED CO DPW,29232,,14401,,43633,,8070,,4868,,12938,,2828506
0604901 CA FSP MODOC COUNTY DSS,1091,,319,,1410,,334,,174,,508,,85030
0605101 CA FSP MONO CO WELFARE DEPT,221,,223,,444,,74,,117,,191,,34956
0605302 CA FSP MONTEREY CO DSW,17444,,7869,,25313,,5691,,3129,,8820,,1757430
0605502 CA FSP NAPA CO WELFARE DEPT,2811,,1950,,4761,,954,,985,,1939,,341112
0605701 CA FSP NEVADA CO DPSS,2179,,1706,,3885,,757,,926,,1683,,269586
0605903 CA FSP ORANGE CO DSW,83965,,42942,,126907,,26583,,18918,,45501,,8189735
0606101 CA FSP PLACER CO WELFARE DEPT,6455,,2878,,9333,,2196,,1627,,3823,,685909
0606301 CA FSP PLUMAS COUNTY DSS,858,,564,,1422,,302,,252,,554,,97917
0606503 CA FSP RIVERSIDE COUNTY DSS,83735,,28495,,112230,,26354,,11536,,37890,,8113654
0606703 CA FSP SACRAMENTO CO DSW,131200,,29714,,160914,,38407,,17044,,55451,,11442321
0606902 CA FSP SAN BENITO COUNTY DSS,2186,,985,,3171,,683,,394,,1077,,214549
0607105 CA FSP SAN BRNDINO CO DPSS AU,151415,,54264,,205679,,46664,,23568,,70232,,14934093
0607301 CA PCO SAN DIEGO CO DSS,142852,,41411,,184263,,46506,,19265,,65771,,12794670
0607502 CA FSP SAN FRANCISCO COUNTY DSS,26568,,21697,,48265,,9283,,17044,,26327,,3602680
0607702 CA FSP SAN JOAQUIN CO HUMAN SVCS AGCY,50475,,17740,,68215,,15084,,6611,,21695,,5121770
0607901 CA FSP SAN LUIS OBISPO COUNTY DSS,7496,,3914,,11410,,2548,,1937,,4485,,790240
0608103 CA FSP SAN MATEO COUNTY DSS,10543,,4159,,14702,,3897,,2106,,6003,,979903
0608304 CA FSP SANTA BARBARA CO DSW,15133,,9249,,24382,,4959,,3980,,8939,,1579422
0608502 CA FSP SANTA CLARA COUNTY DSS,61207,,21474,,82681,,20009,,11330,,31339,,5763509
0608702 CA FSP SANTA CRUZ CO DSW,8578,,5754,,14332,,3050,,3106,,6156,,989196
0608901 CA FSP SHASTA CO DSW,14939,,8053,,22992,,4792,,3982,,8774,,1568424
0609101 CA FSP SIERRA CO HUMAN SVCS,137,,78,,215,,45,,51,,96,,16007
0609301 CA FSP SISKIYOU CO DSW,3911,,1678,,5589,,1291,,750,,2041,,367561
0609502 CA FSP SOLANO CO DSW,23989,,5296,,29285,,8113,,3140,,11253,,1940537
0609701 CA FSP SONOMA CO DSW,13508,,6378,,19886,,4784,,3418,,8202,,1371818
0609902 CA FSP STANISLAUS CO. DSS,35197,,16689,,51886,,11024,,6047,,17071,,3677802
0610101 CA FSP SUTTER CO WELF DEPT,4092,,3013,,7105,,1306,,1121,,2427,,470991
0610301 CA FSP TEHAMA CO DSW,4246,,2699,,6945,,1384,,1187,,2571,,484475
0610501 CA FSP TRINITY CO DSW,899,,664,,1563,,279,,263,,542,,105853
0610704 CA FSP TULARE COUNTY DSS,43795,,23436,,67231,,13185,,8490,,21675,,3835312
0610901 CA FSP TUOLUMNE CO WELF DEPT,2941,,1355,,4296,,981,,721,,1702,,301635
0611101 CA FSP VENTURA CO.,22333,,13378,,35711,,7509,,5330,,12839,,2322262
0611301 CA FSP YOLO CO DSW,11380,,3745,,15125,,3446,,1833,,5279,,1032669
0611501 CA FSP YUBA CO WELFARE DEPT,7972,,4846,,12818,,2119,,1927,,4046,,970677
0800001 CO WRI COLORADO SS STORAGE,4647,,467,,5114,,1493,,119,,1612,,405851
0800301 CO FSP ALAMOSA CO DSS,903,,1339,,2242,,405,,527,,932,,153709
0800701 CO FSP ARCHULETA CO DSS,102,,335,,437,,45,,149,,194,,29232
0800901 CO FSP BACA CO DSS,105,,175,,280,,62,,71,,133,,15931
