NATIONAL DATA BANK VERSION 8.2 - PUBLIC USE,,,,,,,,06/21/2012,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,,,11:50 AM,,,,,
Jul 2008,,,,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0506101 AR EBT HOWARD COUNTY,65,,1632,,1697,,22,,719,,741,,152921
0506301 AR EBT INDEPENDENCE COUNTY,196,,4258,,4454,,59,,1577,,1636,,407684
0506501 AR EBT IZARD COUNTY,37,,1685,,1722,,13,,621,,634,,154550
0506701 AR EBT JACKSON COUNTY,180,,2890,,3070,,52,,1190,,1242,,290845
0506901 AR EBT JEFFERSON COUNTY,1922,,15639,,17561,,595,,7491,,8086,,1839904
0507101 AR EBT JOHNSON COUNTY,86,,3121,,3207,,24,,1260,,1284,,286191
0507301 AR EBT LAFAYETTE COUNTY,142,,1559,,1701,,39,,719,,758,,147438
0507501 AR EBT LAWRENCE COUNTY,100,,2598,,2698,,33,,968,,1001,,239928
0507701 AR EBT LEE COUNTY,377,,2622,,2999,,112,,1314,,1426,,283622
0507901 AR EBT LINCOLN COUNTY,218,,2073,,2291,,68,,916,,984,,217608
0508101 AR EBT LITTLE RIVER COUNTY,68,,1747,,1815,,21,,760,,781,,163585
0508301 AR EBT LOGAN COUNTY,229,,3436,,3665,,61,,1426,,1487,,331654
0508501 AR EBT LONOKE COUNTY,214,,5674,,5888,,65,,2121,,2186,,536169
0508701 AR EBT MADISON COUNTY,49,,1870,,1919,,14,,694,,708,,171425
0508901 AR EBT MARION COUNTY,63,,2130,,2193,,17,,898,,915,,188042
0509101 AR EBT MILLER COUNTY,511,,5804,,6315,,161,,2548,,2709,,608738
0509301 AR EBT MISSISSIPPI COUNTY,717,,8861,,9578,,199,,3242,,3441,,889295
0509501 AR EBT MONROE COUNTY,137,,1881,,2018,,40,,929,,969,,186132
0509701 AR EBT MONTGOMERY COUNTY,34,,1045,,1079,,11,,443,,454,,95631
0509901 AR EBT NEVADA COUNTY,67,,1513,,1580,,22,,650,,672,,143989
0510101 AR EBT NEWTON COUNTY,47,,1376,,1423,,15,,615,,630,,117043
0510301 AR EBT OUACHITA COUNTY,501,,4718,,5219,,159,,2196,,2355,,505642
0510501 AR EBT PERRY COUNTY,47,,1267,,1314,,15,,530,,545,,121994
0510701 AR EBT PHILLIPS COUNTY,1069,,7036,,8105,,303,,3139,,3442,,780057
0510901 AR EBT PIKE COUNTY,24,,1283,,1307,,7,,509,,516,,118377
0511101 AR EBT POINSETT COUNTY,425,,4918,,5343,,128,,1861,,1989,,508725
0511301 AR EBT POLK COUNTY,99,,2894,,2993,,30,,1140,,1170,,263921
0511501 AR EBT POPE COUNTY,124,,6160,,6284,,40,,2475,,2515,,567774
0511701 AR EBT PRAIRIE COUNTY,20,,1143,,1163,,5,,494,,499,,107075
0511901 AR EBT PULASKI COUNTY,4963,,41696,,46659,,1526,,17788,,19314,,4845257
0512101 AR EBT RANDOLPH COUNTY,164,,2425,,2589,,46,,1002,,1048,,226178
0512301 AR EBT SAINT FRANCIS COUNTY,195,,7346,,7541,,56,,2863,,2919,,714445
0512501 AR EBT SALINE COUNTY,118,,2074,,2192,,34,,786,,820,,194834
0512701 AR EBT SCOTT COUNTY,37,,1175,,1212,,8,,520,,528,,98579
0512901 AR EBT SEARCY COUNTY,496,,13854,,14350,,147,,5673,,5820,,1405025
0513101 AR EBT SEBASTIAN COUNTY,105,,2338,,2443,,33,,949,,982,,218648
0513301 AR EBT SEVIER COUNTY,129,,2335,,2464,,38,,902,,940,,211332
0513501 AR EBT SHARP COUNTY,932,,6536,,7468,,263,,2904,,3167,,732964
0513701 AR EBT STONE COUNTY,58,,1584,,1642,,15,,685,,700,,128577
0513901 AR EBT UNION COUNTY,558,,7072,,7630,,169,,3169,,3338,,737987
0514101 AR EBT VAN BUREN COUNTY,48,,2329,,2377,,14,,979,,993,,208303
0514301 AR EBT WASHINGTON COUNTY,538,,14485,,15023,,162,,5674,,5836,,1486983
0514501 AR EBT WHITE COUNTY,300,,8024,,8324,,95,,3216,,3311,,785502
0514701 AR EBT WOODRUFF COUNTY,132,,1627,,1759,,41,,824,,865,,159935
0514901 AR EBT YELL COUNTY,49,,2359,,2408,,13,,916,,929,,198199
0515992 AR EBT 92-1 Field Operations,2,,4780,,4782,,1,,4387,,4388,,218579
0515996 AR EBT 96-1 Field Operations,4,,1434,,1438,,2,,1354,,1356,,84492
0600105 CA EBT ALAMEDA COUNTY DSS,26115,,49552,,75667,,11106,,24362,,35468,,8644100
0600302 CA EBT ALPINE COUNTY DSS,17,,92,,109,,6,,41,,47,,10311
0600501 CA EBT AMADOR COUNTY DSS,414,,1177,,1591,,159,,609,,768,,184134
0600702 CA EBT BUTTE COUNTY DSS,4386,,15324,,19710,,1719,,6963,,8682,,2242128
0600901 CA EBT CALAVERAS CO DSW,711,,1728,,2439,,264,,867,,1131,,276159
0601101 CA EBT COLUSA COUNTY DSW,228,,1161,,1389,,73,,426,,499,,130939
0601302 CA EBT CONTRA COSTA COUNTY DSS,13312,,24567,,37879,,5473,,11189,,16662,,4323053
0601501 CA EBT DEL NORTE CO DSW,1144,,2879,,4023,,408,,1413,,1821,,447808
0601704 CA EBT EL DORADO COUNTY DSS,1306,,4059,,5365,,494,,1940,,2434,,607774
0601904 CA EBT FRESNO COUNTY DSW,43319,,98631,,141950,,15986,,37894,,53880,,16005163
0602102 CA EBT GLENN CO WELFARE DEPT,642,,1758,,2400,,225,,707,,932,,248482
0602303 CA EBT HUMBOLDT CO DSW,2712,,7392,,10104,,1053,,3888,,4941,,1150841
0602501 CA EBT IMPERIAL CO DSW,5251,,16245,,21496,,1702,,6155,,7857,,2393548
0602701 CA EBT INYO COUNTY WELF DEPT,282,,924,,1206,,99,,424,,523,,122128
0602902 CA EBT KERN,17787,,72853,,90640,,6285,,27172,,33457,,9760235
0603101 CA EBT KINGS COUNTY DPW,3148,,11879,,15027,,1100,,4876,,5976,,1579350
0603301 CA EBT LAKE CO DEPT OF SOC SVCS,1665,,4572,,6237,,928,,1894,,2822,,707836
0603501 CA EBT LASSEN CO DSW,758,,1507,,2265,,270,,687,,957,,255716
0603720 CA EBT LOS ANGELES COUNTY DPSS,165167,,493733,,658900,,71767,,221594,,293361,,77116012
0603902 CA EBT MADERA CO DSW,2791,,13362,,16153,,970,,5116,,6086,,1710493
0604102 CA EBT MARIN COUNTY DSW,1069,,3923,,4992,,444,,2431,,2875,,585527
0604301 CA EBT MARIPOSA CO DSW,257,,727,,984,,100,,344,,444,,109694
0604501 CA EBT MENDOCINO CO WELF DEPT,1691,,5908,,7599,,656,,3365,,4021,,938146
0604701 CA EBT MERCED CO DPW,12777,,22038,,34815,,4678,,8100,,12778,,3720709
0604901 CA EBT MODOC COUNTY DSS,273,,527,,800,,95,,234,,329,,83707
0605101 CA EBT MONO CO WELFARE DEPT,64,,261,,325,,23,,156,,179,,36575
0605302 CA EBT MONTEREY CO DSW,4913,,17152,,22065,,1769,,7254,,9023,,2313364
0605502 CA EBT NAPA CO WELFARE DEPT,594,,2542,,3136,,229,,1117,,1346,,342249
0605701 CA EBT NEVADA CO DPSS,812,,2667,,3479,,315,,1371,,1686,,410992
0605903 CA EBT ORANGE CO DSW,24162,,67339,,91501,,9355,,26362,,35717,,9620095
0606101 CA EBT PLACER CO WELFARE DEPT,2936,,6489,,9425,,1087,,2874,,3961,,1037146
0606301 CA EBT PLUMAS COUNTY DSS,203,,545,,748,,74,,223,,297,,76670
0606503 CA EBT RIVERSIDE COUNTY DSS,39242,,77662,,116904,,14037,,27564,,41601,,12381309
0606703 CA EBT SACRAMENTO CO DSW,47030,,85789,,132819,,18088,,35844,,53932,,15599175
0606902 CA EBT SAN BENITO COUNTY DSS,916,,2928,,3844,,312,,1295,,1607,,424197
0607105 CA EBT SAN BRNDINO CO DPSS AU,58969,,119711,,178680,,21258,,43145,,64403,,19744266
0607301 CA EBT SAN DIEGO CO DSS,42179,,65128,,107307,,15683,,25613,,41296,,11721181
0607502 CA EBT SAN FRANCISCO COUNTY DSS,6594,,24123,,30717,,2923,,16616,,19539,,3599676
0607702 CA EBT SAN JOAQUIN CO HUMAN SVCS AGCY,16468,,46660,,63128,,5954,,17323,,23277,,7051376
0607901 CA EBT SAN LUIS OBISPO COUNTY DSS,2694,,6778,,9472,,1126,,3424,,4550,,1039617
0608103 CA EBT SAN MATEO COUNTY DSS,3344,,6448,,9792,,1420,,3116,,4536,,1099119
0608304 CA EBT SANTA BARBARA CO DSW,6643,,13087,,19730,,3519,,4771,,8290,,2078435
0608502 CA EBT SANTA CLARA COUNTY DSS,20772,,42905,,63677,,8389,,18883,,27272,,6884171
0608702 CA EBT SANTA CRUZ CO DSW,3340,,9872,,13212,,1413,,4770,,6183,,1438102
0608901 CA EBT SHASTA CO DSW,3871,,11676,,15547,,1544,,5447,,6991,,1702709
0609101 CA EBT SIERRA CO HUMAN SVCS,29,,107,,136,,10,,63,,73,,14810
0609301 CA EBT SISKIYOU CO DSW,1233,,2781,,4014,,462,,1224,,1686,,445690
0609502 CA EBT SOLANO CO DSW,9199,,15129,,24328,,3717,,7356,,11073,,2805933
0609701 CA EBT SONOMA CO DSW,5015,,10907,,15922,,2168,,5831,,7999,,1817647
0609902 CA EBT STANISLAUS CO. DSS,17084,,33184,,50268,,6527,,13667,,20194,,5559687
0610101 CA EBT SUTTER CO WELF DEPT,1848,,5667,,7515,,630,,2234,,2864,,821350
0610301 CA EBT TEHAMA CO DSW,1539,,4518,,6057,,577,,1930,,2507,,676099
0610501 CA EBT TRINITY CO DSW,273,,821,,1094,,108,,364,,472,,120011
0610704 CA EBT TULARE COUNTY DSS,22559,,47860,,70419,,8355,,18816,,27171,,7695499
0610901 CA EBT TUOLUMNE CO WELF DEPT,1267,,2224,,3491,,438,,1123,,1561,,361308
0611101 CA EBT VENTURA CO.,9818,,25883,,35701,,3769,,11768,,15537,,3900332
0611301 CA EBT YOLO CO DSW,3206,,7305,,10511,,1216,,3193,,4409,,1208300
0611501 CA EBT YUBA CO WELFARE DEPT,2033,,7286,,9319,,730,,3076,,3806,,1035054
0800301 CO EBT ALAMOSA CO DSS,548,,2026,,2574,,294,,909,,1203,,253937
