NATIONAL DATA BANK VERSION 8.2 - PUBLIC,,,,,,,,10/15/2021,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,
Jul 2019,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance
0401701 AZ EBT NAVAJO,273,,26268,,26541,,80,,11277,,11357,,3310478
0401901 AZ EBT PIMA,3856,,124767,,128623,,1107,,63769,,64876,,15480349
0402101 AZ EBT PINAL,1432,,44702,,46134,,375,,19917,,20292,,5556618
0402301 AZ EBT SANTA CRUZ,179,,10066,,10245,,50,,4245,,4295,,1065609
0402501 AZ EBT YAVAPAI,303,,17639,,17942,,99,,9822,,9921,,2008217
0402701 AZ EBT YUMA,679,,40039,,40718,,197,,16771,,16968,,4623057
0402901 AZ EBT LA PAZ CO DES,52,,3084,,3136,,16,,1621,,1637,,369960
0500101 AR EBT ARKANSAS COUNTY,18,,2446,,2464,,7,,1196,,1203,,280283
0500301 AR EBT ASHLEY COUNTY,73,,3066,,3139,,22,,1473,,1495,,340655
0500501 AR EBT BAXTER COUNTY,36,,4059,,4095,,13,,2012,,2025,,410884
0500701 AR EBT BENTON COUNTY,125,,11811,,11936,,39,,4756,,4795,,1276822
0500901 AR EBT BOONE COUNTY,100,,4036,,4136,,33,,1851,,1884,,410511
0501101 AR EBT BRADLEY COUNTY,61,,1810,,1871,,19,,879,,898,,198781
0501301 AR EBT CALHOUN COUNTY,14,,449,,463,,3,,231,,234,,47755
0501501 AR EBT CARROLL COUNTY,9,,2263,,2272,,3,,959,,962,,236821
0501701 AR EBT CHICOT COUNTY,75,,2564,,2639,,22,,1225,,1247,,277519
0501901 AR EBT CLARK COUNTY,16,,2466,,2482,,7,,1158,,1165,,265144
0502101 AR EBT CLAY COUNTY,38,,1646,,1684,,11,,801,,812,,164236
0502301 AR EBT CLEBURNE COUNTY,46,,2497,,2543,,16,,1166,,1182,,268372
0502501 AR EBT CLEVELAND COUNTY,28,,1012,,1040,,10,,474,,484,,110134
0502701 AR EBT COLUMBIA COUNTY,64,,3528,,3592,,18,,1715,,1733,,389595
0502901 AR EBT CONWAY COUNTY,64,,2874,,2938,,19,,1320,,1339,,309625
0503101 AR EBT CRAIGHEAD COUNTY,305,,12828,,13133,,92,,5237,,5329,,1456968
0503301 AR EBT CRAWFORD COUNTY,134,,6725,,6859,,36,,2812,,2848,,709239
0503501 AR EBT CRITTENDEN COUNTY,286,,10703,,10989,,79,,4654,,4733,,1250493
0503701 AR EBT CROSS COUNTY,24,,2335,,2359,,6,,1066,,1072,,247244
0503901 AR EBT DALLAS COUNTY,28,,957,,985,,8,,475,,483,,104574
0504101 AR EBT DESHA COUNTY,42,,2394,,2436,,15,,1164,,1179,,269352
0504301 AR EBT DREW COUNTY,34,,2790,,2824,,11,,1328,,1339,,317070
0504501 AR EBT FAULKNER COUNTY,108,,9193,,9301,,34,,4060,,4094,,1053081
0504701 AR EBT FRANKLIN COUNTY,17,,1905,,1922,,5,,816,,821,,193092
0504901 AR EBT FULTON COUNTY,17,,1731,,1748,,6,,841,,847,,169921
0505101 AR EBT GARLAND COUNTY,125,,12606,,12731,,40,,5898,,5938,,1423249
0505301 AR EBT GRANT COUNTY,21,,1481,,1502,,7,,658,,665,,172222
0505501 AR EBT GREENE COUNTY,96,,5787,,5883,,31,,2611,,2642,,633821
0505701 AR EBT HEMPSTEAD COUNTY,46,,2797,,2843,,13,,1317,,1330,,288450
0505901 AR EBT HOT SPRING COUNTY,21,,3868,,3889,,7,,1729,,1736,,410633
0506101 AR EBT HOWARD COUNTY,27,,1904,,1931,,8,,808,,816,,208129
0506301 AR EBT INDEPENDENCE COUNTY,88,,4058,,4146,,27,,1795,,1822,,418016
0506501 AR EBT IZARD COUNTY,30,,1459,,1489,,10,,725,,735,,142871
0506701 AR EBT JACKSON COUNTY,48,,2755,,2803,,14,,1330,,1344,,310409
0506901 AR EBT JEFFERSON COUNTY,339,,12699,,13038,,109,,6229,,6338,,1575278
0507101 AR EBT JOHNSON COUNTY,33,,3846,,3879,,11,,1608,,1619,,396430
0507301 AR EBT LAFAYETTE COUNTY,17,,1050,,1067,,5,,522,,527,,109176
0507501 AR EBT LAWRENCE COUNTY,28,,2386,,2414,,11,,1118,,1129,,237912
0507701 AR EBT LEE COUNTY,113,,1912,,2025,,32,,1036,,1068,,229758
0507901 AR EBT LINCOLN COUNTY,36,,1525,,1561,,9,,768,,777,,163999
0508101 AR EBT LITTLE RIVER COUNTY,30,,1647,,1677,,9,,731,,740,,173526
0508301 AR EBT LOGAN COUNTY,29,,2699,,2728,,8,,1223,,1231,,272154
0508501 AR EBT LONOKE COUNTY,54,,6062,,6116,,18,,2632,,2650,,663771
0508701 AR EBT MADISON COUNTY,28,,1691,,1719,,9,,709,,718,,178534
0508901 AR EBT MARION COUNTY,38,,2024,,2062,,11,,902,,913,,208428
0509101 AR EBT MILLER COUNTY,263,,5659,,5922,,73,,2611,,2684,,668399
0509301 AR EBT MISSISSIPPI COUNTY,160,,7811,,7971,,49,,3575,,3624,,863688
0509501 AR EBT MONROE COUNTY,30,,1400,,1430,,11,,699,,710,,146082
0509701 AR EBT MONTGOMERY COUNTY,7,,1050,,1057,,3,,493,,496,,103169
0509901 AR EBT NEVADA COUNTY,19,,1016,,1035,,7,,474,,481,,108485
0510101 AR EBT NEWTON COUNTY,20,,901,,921,,6,,428,,434,,82821
0510301 AR EBT OUACHITA COUNTY,75,,3738,,3813,,22,,1861,,1883,,433150
0510501 AR EBT PERRY COUNTY,22,,1165,,1187,,7,,526,,533,,132564
0510701 AR EBT PHILLIPS COUNTY,287,,5610,,5897,,84,,2624,,2708,,659619
0510901 AR EBT PIKE COUNTY,0,,1271,,1271,,0,,550,,550,,131967
0511101 AR EBT POINSETT COUNTY,99,,4212,,4311,,31,,1953,,1984,,440129
0511301 AR EBT POLK COUNTY,73,,2815,,2888,,23,,1274,,1297,,295229
0511501 AR EBT POPE COUNTY,54,,6172,,6226,,18,,2670,,2688,,669417
0511701 AR EBT PRAIRIE COUNTY,14,,814,,828,,4,,393,,397,,86332
0511901 AR EBT PULASKI COUNTY,1063,,50211,,51274,,318,,23120,,23438,,6150359
0512101 AR EBT RANDOLPH COUNTY,33,,2080,,2113,,11,,996,,1007,,204725
0512301 AR EBT SAINT FRANCIS COUNTY,178,,5085,,5263,,50,,2358,,2408,,594661
0512501 AR EBT SALINE COUNTY,50,,7166,,7216,,16,,3174,,3190,,823816
0512701 AR EBT SCOTT COUNTY,24,,1771,,1795,,9,,735,,744,,181298
0512901 AR EBT SEARCY COUNTY,26,,776,,802,,7,,403,,410,,70508
0513101 AR EBT SEBASTIAN COUNTY,299,,16017,,16316,,83,,7364,,7447,,1834361
0513301 AR EBT SEVIER COUNTY,40,,2282,,2322,,10,,974,,984,,245456
0513501 AR EBT SHARP COUNTY,59,,2503,,2562,,17,,1187,,1204,,245179
0513701 AR EBT STONE COUNTY,35,,1696,,1731,,10,,803,,813,,158824
0513901 AR EBT UNION COUNTY,67,,5599,,5666,,21,,2660,,2681,,648841
0514101 AR EBT VAN BUREN COUNTY,23,,2007,,2030,,7,,925,,932,,211599
0514301 AR EBT WASHINGTON COUNTY,275,,14801,,15076,,77,,6386,,6463,,1641344
0514501 AR EBT WHITE COUNTY,197,,8885,,9082,,60,,4002,,4062,,993051
0514701 AR EBT WOODRUFF COUNTY,12,,1218,,1230,,4,,619,,623,,127204
0514901 AR EBT YELL COUNTY,8,,2223,,2231,,1,,927,,928,,221473
0515992 AR EBT 92-1 Field Operations,0,,0,,0,,0,,0,,0,,0
0515996 AR EBT 96-1 Field Operations,0,,0,,0,,0,,0,,0,,0
0600105 CA EBT ALAMEDA COUNTY DSS,16092,,85919,,102011,,10164,,48716,,58880,,13190904
0600302 CA EBT ALPINE COUNTY DSS,8,,124,,132,,6,,73,,79,,16270
0600501 CA EBT AMADOR COUNTY DSS,287,,2262,,2549,,163,,1296,,1459,,313051
0600702 CA EBT BUTTE COUNTY DSS,5011,,23344,,28355,,2967,,13539,,16506,,3614231
0600901 CA EBT CALAVERAS CO DSW,512,,4169,,4681,,308,,2454,,2762,,595441
0601101 CA EBT COLUSA COUNTY DSW,209,,1184,,1393,,107,,564,,671,,161148
0601302 CA EBT CONTRA COSTA COUNTY DSS,9520,,48854,,58374,,5390,,25402,,30792,,7530294
0601501 CA EBT DEL NORTE CO DSW,1199,,3905,,5104,,625,,2160,,2785,,611013
0601704 CA EBT EL DORADO COUNTY DSS,1455,,9398,,10853,,868,,5728,,6596,,1380889
0601904 CA EBT FRESNO COUNTY DSW,35621,,173111,,208732,,15416,,75890,,91306,,25524149
0602102 CA EBT GLENN CO WELFARE DEPT,670,,2609,,3279,,319,,1288,,1607,,383900
0602303 CA EBT HUMBOLDT CO DSW,3573,,17761,,21334,,2340,,11263,,13603,,2728809
0602501 CA EBT IMPERIAL CO DSW,6721,,32273,,38994,,3189,,14273,,17462,,4618984
0602701 CA EBT INYO COUNTY WELF DEPT,216,,1512,,1728,,102,,828,,930,,218479
0602902 CA EBT KERN,28677,,122824,,151501,,13655,,55797,,69452,,19179800
